MongoDB shell version v4.4.5
connecting to: mongodb://127.0.0.1:27017/project?compressors=disabled&gssapiServiceName=mongodb
Implicit session: session { "id" : UUID("457f9497-f00d-4d01-83ef-cc31297f79fd") }
MongoDB server version: 4.4.5
show_id^type^title
81145628^Movie^Norm of the North: King Sized Adventure
81113928^Movie^Care of Kancharapalem
81154455^Movie^Article 15
80178151^TV Show^The Spy
81052275^Movie^Ee Nagaraniki Emaindi
81132437^Movie^Kill Me If You Dare
80221550^TV Show^Archibald's Next Big Thing
81176188^Movie^American Factory: A Conversation with the Obamas
81078908^Movie^The World We Make
81160036^Movie^Saawan
81173255^Movie^The Heretics
81155784^Movie^Watchman
81054495^Movie^Mo Gilligan: Momentum
81053893^Movie^Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna
80200087^Movie^Domino
81053892^Movie^TUNA GIRL
80225885^TV Show^Bard of Blood
80220715^TV Show^Skylines
81171121^Movie^Sturgill Simpson Presents Sound & Fury
80218107^TV Show^Dragons: Rescue Riders
81132443^Movie^Deliha 2
80241248^TV Show^The Politician
80231903^Movie^In the Shadow of the Moon
81177238^Movie^Malaal
70270775^Movie^The Grandmaster
80244682^Movie^Birders
81075519^Movie^Furie
80166318^Movie^Leap!
81186758^Movie^Oh! Baby (Malayalam)
81025403^TV Show^The Inmate
80108976^Movie^USS Indianapolis: Men of Courage
81186757^Movie^Oh! Baby (Tamil)
81053953^Movie^Inside Man: Most Wanted
81074113^Movie^Jeff Dunham: Beside Himself
80238106^TV Show^Team Kaylie
81176200^Movie^Manmadhudu 2
80208906^Movie^Under the Eiffel Tower
81004814^TV Show^BONDING
81080769^Movie^Do Paise Ki Dhoop Chaar Aane Ki Baarish
81172721^Movie^King of Boys
81172727^Movie^Merry Men: The Real Yoruba Demons
70153543^Movie^Sarah's Key
81172728^Movie^The Wedding Party 2: Destination Dubai
81095101^TV Show^Vagabond
80243600^Movie^Between Two Ferns: The Movie
81020513^TV Show^Criminal: France
81020518^TV Show^Criminal: Germany
80216172^TV Show^Criminal: UK
80184771^TV Show^Inside Bill's Brain: Decoding Bill Gates
81122669^Movie^Daddy Issues
81020523^TV Show^Criminal: Spain
81132439^Movie^Travel Mates 2
81035117^Movie^True: Tricky Treat Day
81000389^TV Show^The Hockey Girls
80244627^TV Show^Two Sentence Horror Stories
81107545^Movie^Kabir Singh
70118953^Movie^Océans
80149143^Movie^Come and Find Me
81144925^TV Show^When the Camellia Blooms
80991316^Movie^Avengement
81147293^Movie^A Haunting at Silver Falls: The Return
70178604^TV Show^Ancient Aliens
80190588^Movie^Clive Davis: The Soundtrack of Our Lives
70229037^Movie^Sebastian Maniscalco: What's Wrong with People?
70124316^Movie^Five Elements Ninjas
80219119^TV Show^The Last Kids on Earth
