MongoDB shell version v4.4.5
connecting to: mongodb://127.0.0.1:27017/project?compressors=disabled&gssapiServiceName=mongodb
Implicit session: session { "id" : UUID("d7a221ae-c644-47d8-adad-200421c7ba94") }
MongoDB server version: 4.4.5
actor^genre^works
 Jr.^TV Dramas^1
2 Chainz^Docuseries^1
4Minute^International Movies^1
50 Cent^Action & Adventure^2
A Boogie Wit tha Hoodie^Docuseries^1
A-ra Go^Crime TV Shows^1
A. Murat Özgen^Horror Movies^1
A.C. Peterson^Dramas^1
A.D. Miles^TV Comedies^2
A.J. Cook^Crime TV Shows^1
A.J. LoCascio^Kids' TV^2
A.K. Hangal^Dramas^3
A.R. Rahman^Documentaries^1
A.S. Sasi Kumar^Dramas^1
AFRA^Anime Series^1
AJ Bowen^Dramas^1
AJ Michalka^Kids' TV^1
AJ Rivera^TV Action & Adventure^1
Aabhas Yadav^Children & Family Movies^1
Aachal Munjal^Dramas^1
Aadarsh Balakrishna^Dramas^2
Aadhi^Dramas^1
Aaditi Pohankar^Comedies^1
Aaditya Pratap Singh^Dramas^1
Aadukalam Naren^Dramas^1
Aadya Bedi^Dramas^1
Aahana Kumra^Crime TV Shows^1
Aakarshan Singh^International TV Shows^1
Aakash Dabhade^International Movies^3
Aakash Pandey^Dramas^1
Aamina Sheikh^Comedies^1
Aamir Ahmed^Dramas^1
Aamir Bashir^Dramas^3
Aamir Khan^International Movies^14
Aamir Qureshi^Comedies^1
Aanand Kale^Comedies^1
Aanchal Munjal^Action & Adventure^1
Aarav Khanna^Children & Family Movies^1
Aarif Rahman^Action & Adventure^1
Aarjav Trivedi^Dramas^1
Aarna Sharma^International TV Shows^1
Aarohi Patel^Comedies^1
Aaron Abrams^Dramas^1
Aaron Blakely^Dramas^1
Aaron Burns^Horror Movies^1
Aaron Carpenter^Reality TV^1
Aaron Chen^International TV Shows^1
Aaron D. Spears^Romantic TV Shows^1
Aaron Dismuke^Anime Series^1
Aaron Douglas^Horror Movies^1
Aaron Dugger^Classic Movies^1
Aaron Eckhart^Action & Adventure^2
Aaron Eisenberg^Children & Family Movies^1
Aaron Farb^Independent Movies^1
Aaron Hale^TV Dramas^1
Aaron Hernandez^Crime TV Shows^1
Aaron Himelstein^Horror Movies^1
Aaron Jakubenko^TV Dramas^2
Aaron Jeffery^Dramas^2
Aaron Keogh^Dramas^1
Aaron Kwok^Action & Adventure^1
Aaron L. McGrath^International TV Shows^1
Aaron Marsden^British TV Shows^2
Aaron Marshall^Comedies^1
Aaron Martin^TV Horror^1
Aaron McCusker^Action & Adventure^2
Aaron Merke^Dramas^1
Aaron Moorhead^Independent Movies^1
Aaron Moten^TV Comedies^1
Aaron Munoz^Horror Movies^1
Aaron Paul^Dramas^2
Aaron Pearl^Thrillers^1
Aaron Pedersen^Thrillers^1
Aaron Pruner^Kids' TV^1
Aaron Stanford^Thrillers^2
Aaron Staton^TV Dramas^1
Aaron Taylor-Johnson^Dramas^2
Aaron Washington^Comedies^1
Aaron Wolff^Comedies^1
Aaron Yan^International TV Shows^4
Aaron Yoo^Horror Movies^2
Aarti Chhabria^Action & Adventure^1
Aarti Mann^Comedies^1
Aarti Patel^Comedies^1
Aarubala^Dramas^1
Aarushi Sharma^Comedies^1
Aarya Dave^Dramas^1
Aarya DharmChand Kumar^International TV Shows^1
Aaryan Menon^Dramas^1
Aaryansh Malviya^International TV Shows^1
Aarón Díaz^International TV Shows^1
Aasha Pawar^Dramas^1
Aashi Rawal^Action & Adventure^1
Aashif Sheikh^Action & Adventure^1
Aashish Chaudhary^Comedies^3
Aasif Mandvi^Action & Adventure^1
Aayam Mehta^Children & Family Movies^1
Aayan Boradia^Dramas^1
Abayomi Alvin^Comedies^1
Abbas^Dramas^1
Abbi Jacobson^Dramas^1
Abbie Cornish^Action & Adventure^2
Abby Bergman^Kids' TV^1
Abby Donnelly^Children & Family Movies^1
Abby Miller^Crime TV Shows^1
Abby Rakic-Platt^British TV Shows^1
Abby Ryder Fortson^Action & Adventure^1
Abby Trott^Movies^3
Abdalah Mishrif^Comedies^3
Abdelaziz N'Mila^Dramas^3
Abdelilah Wahbi^Dramas^4
Abdellah Didane^Dramas^1
Abdi Sidow Farah^Dramas^1
Abdo Chahine^Crime TV Shows^1
Abdul Mohsen Alnimer^International TV Shows^1
Abdul Qadir^Dramas^1
Abdulla Bu Shehri^International TV Shows^1
Abdullah Al Yousef^Action & Adventure^1
Abdullah Al-Turkumani^International TV Shows^1
Abdullah Al-bloshi^International TV Shows^1
Abdullah Almaqbali^Crime TV Shows^1
Abdullah Bahman^International TV Shows^1
Abdullah Bin Haidar^Crime TV Shows^1
Abdullah Jan^Dramas^1
Abdulmajeed Al-Ruhaidi^Comedies^1
Abdulmohsen Al-Qaffas^International TV Shows^1
Abdur Arsyad^Comedies^1
Abdur Rehman^Horror Movies^1
Abdurrahman Arif^Dramas^1
Abe Goldfarb^Kids' TV^1
Abe Vigoda^Children & Family Movies^1
Abeer Abrar^Action & Adventure^1
Abeer Ahmad^International TV Shows^1
Abeer Mansour^Horror Movies^1
Abel Ayala^Crime TV Shows^1
Abel Ferrara^Dramas^1
Abel Folk^International TV Shows^1
Abel McSurely Bradshaw^Horror Movies^1
Abena Ayivor^British TV Shows^1
Abhay Deol^Dramas^10
Abhay Kulkarni^Dramas^1
Abhay Mahajan^Comedies^2
Abhijit Kelkar^Comedies^1
Abhijit Sinha^Horror Movies^1
Abhimanyu Dassani^Action & Adventure^1
Abhimanyu Singh^Dramas^4
Abhinav Gomatam^Comedies^1
Abhinav Shukla^International TV Shows^1
Abhishek Bachchan^International Movies^8
Abhishek Banerjee^Comedies^2
Abhishek D Shah^Dramas^1
Abhishek Duhan^Comedies^1
Abhishek H.N.^Dramas^1
Abhishek Krishnan^Comedies^1
Abhishek Saha^Comedies^1
Abi Brittle^TV Comedies^1
Abigail Adriano^Kids' TV^1
Abigail Breslin^Comedies^2
Abigail Cowen^TV Horror^1
Abigail Cruttenden^Horror Movies^1
Abigail Jain^International TV Shows^1
Abigail Oliver^Kids' TV^1
Abigail Pniowsky^Horror Movies^1
Abigail Spencer^Crime TV Shows^1
Abimana Aryasatya^Action & Adventure^1
Abir Chatterjee^Comedies^1
Abir Goswami^Dramas^1
Abishek K.S.^Comedies^1
Abraham Attah^Dramas^1
Abraham Benrubi^Children & Family Movies^1
Abraham Rodríguez^Kids' TV^1
Abril Schreiber^Crime TV Shows^1
Abu Valayamkulam^Dramas^1
Ace Harney^Horror Movies^1
Acha Septriasa^Dramas^1
Achala Sachdev^Classic Movies^1
Achint Kaur^Dramas^1
Achita Pramoj Na Ayudhya^Comedies^1
Achita Sikamana^Horror Movies^1
Achyut Potdar^Dramas^1
Achyuth Kumar^Dramas^1
Acushla-Tara Kupe^British TV Shows^1
Ada Ameh^Comedies^1
Ada Carrasco^Classic Movies^1
Ada Choi^Action & Adventure^1
Ada Pan^International TV Shows^2
Adaar Malik^Comedies^1
Adah Sharma^Horror Movies^1
Adain Bradley^TV Comedies^1
Adair Curtis^Reality TV^1
Adam Andrianopolous^Kids' TV^1
Adam Arkin^Comedies^2
Adam Baldwin^Dramas^1
Adam Barrett^Documentaries^1
Adam Bartley^Crime TV Shows^1
Adam Beach^Dramas^2
Adam Brody^Comedies^3
Adam Busch^Comedies^1
Adam Butcher^International Movies^1
Adam Campbell^TV Comedies^1
Adam Chan^Comedies^1
Adam Chernick^Comedies^1
Adam Collins^Action & Adventure^1
